120,110,151,134,0.587736
124,105,154,129,0.607844
128,99,158,123,0.562124
131,93,160,117,0.510779
132,87,160,110,0.620351
131,84,159,107,0.584275
131,86,159,109,0.596146
130,92,160,116,0.353475
130,103,161,128,0.341546
130,116,162,142,0.389616
130,126,163,153,0.469504
131,132,163,158,0.474011
132,136,164,162,0.482531
133,134,164,159,0.613420
132,130,162,154,0.562857
130,125,160,149,0.556298
127,120,157,144,0.554939
124,116,154,140,0.609815
120,113,150,137,0.658147
118,112,148,136,0.655200
116,113,146,137,0.680892
115,114,145,138,0.665338
115,115,145,139,0.671631
115,115,145,139,0.646543
115,115,145,139,0.656382
115,115,145,139,0.660409
115,115,145,139,0.670527
115,116,145,140,0.681372
115,117,145,141,0.667188
114,120,144,144,0.674025
114,120,144,144,0.650259
114,120,144,144,0.669780
114,119,144,143,0.657153
114,119,144,143,0.677462
114,119,144,143,0.680292
113,119,143,143,0.683059
113,119,143,143,0.669247
113,120,143,144,0.679901
113,121,143,145,0.673538
112,123,142,147,0.656771
112,123,142,147,0.674938
112,123,142,147,0.671148
112,123,142,147,0.659608
112,123,142,147,0.637663
112,123,142,147,0.624758
112,123,142,147,0.637896
112,123,142,147,0.659415
112,123,142,147,0.673476
112,123,142,147,0.675261
112,123,142,147,0.674134
